timestamp,dx,dy,label
1726057409.6970022,0,17,0
1726057409.7688763,3,18,0
1726057409.8585298,7,20,0
1726057409.9441178,7,20,0
1726057410.0363843,5,20,0
1726057410.1191926,-3,14,0
1726057410.2146137,-6,10,0
1726057410.3045332,-7,8,0
1726057410.3923688,-6,10,0
1726057410.4706843,-3,12,0
1726057410.5624282,2,21,0
1726057410.6348436,1,33,0
1726057410.72074,-3,40,0
1726057410.7872005,-11,38,0
1726057410.8545165,-17,38,0
1726057410.9221804,-10,34,0
1726057411.056486,1,27,0
1726057411.13474,0,23,0
1726057411.213615,3,19,0
1726057411.2603028,3,12,0
1726057411.2983942,4,6,0
1726057411.3531432,3,5,0
1726057411.420243,5,11,0
1726057411.4843357,12,23,0
1726057418.4093246,16,44,0
1726057418.490658,12,38,0
1726057418.5975864,4,31,0
1726057418.6727335,-6,18,0
1726057418.753101,-13,11,0
1726057418.8263402,-22,0,0
1726057418.9011598,-28,-8,0
1726057418.9839716,-29,-8,0
1726057419.0738218,-20,0,0
1726057419.1551569,-11,10,0
1726057419.2372231,0,27,0
1726057419.8473482,-9,42,0
1726057419.937512,-18,36,0
1726057420.0300367,-29,30,0
1726057420.1266928,-37,27,0
1726057420.2093616,-44,23,0
1726057420.295725,-47,19,0
1726057420.3825686,-45,11,0
1726057420.47304,-31,12,0
1726057420.557385,-14,19,0
1726057420.636387,-2,27,0
1726057420.7187624,2,37,0
1726057421.2228484,-19,43,0
1726057421.318295,-18,33,0
1726057421.413146,-12,30,0
1726057421.5000703,-5,31,0
1726057421.6027749,-7,26,0
1726057421.6941671,-18,19,0
1726057421.7776203,-35,22,0
1726057421.8815124,-51,25,0
1726057421.9735038,-56,35,0
1726057422.2983315,23,46,1
1726057422.402978,36,40,0
1726057422.4926088,39,34,0
1726057422.5724163,38,29,0
1726057422.6498728,30,23,0
1726057422.729802,25,20,0
1726057422.8473165,7,16,0
1726057422.9350266,-13,17,0
1726057423.0262508,-29,20,0
1726057423.1205282,-39,26,0
1726057423.21665,-43,33,0
1726057423.307136,-41,38,0
1726057423.5602229,26,46,1
1726057423.663453,36,39,0
1726057423.757784,36,32,0
1726057423.8427875,33,28,0
1726057423.9417636,27,25,0
1726057424.0302708,18,22,0
1726057424.1329625,0,21,0
1726057424.223574,-21,22,0
1726057424.3220072,-34,25,0
1726057424.421384,-39,29,0
1726057424.524573,-36,36,0
1726057424.6418238,-23,42,0
1726057424.7266345,-8,50,0
1726057424.9090376,20,44,0
1726057424.988351,22,41,0
1726057425.0698032,13,36,0
1726057425.157464,2,33,0
1726057425.2415285,-13,27,0
1726057425.3386636,-27,23,0
1726057425.4378684,-35,21,0
1726057425.5301197,-38,20,0
1726057425.6266274,-38,19,0
1726057425.72591,-33,19,0
1726057425.8083274,-29,18,0
1726057425.885107,-18,14,0
1726057425.9633486,-5,18,0
1726057426.0671268,-4,24,0
1726057426.147089,-6,32,0
1726057426.2447777,-11,32,0
1726057426.327536,-15,34,0
1726057426.4302256,-19,37,0
1726057426.5187955,-20,39,0
1726057426.59801,-4,42,0
1726057426.6933763,3,39,0
1726057426.7799172,4,25,0
1726057426.8551824,0,20,0
1726057426.9328127,-12,16,0
1726057427.0079677,-27,16,0
1726057427.09848,-39,15,0
1726057427.1730392,-37,20,0
1726057427.2413793,-33,27,0
1726057427.3409383,-23,29,0
1726057428.8504062,66,39,1
1726057428.926789,69,37,0
1726057428.996797,70,35,0
1726057429.065529,67,34,0
1726057429.1342852,58,32,0
