timestamp,dx,dy
1726047020.6454754,-4,82
1726047020.6810493,1,81
1726047020.709959,4,84
1726047020.7449858,7,82
1726047020.7743633,8,83
1726047020.80706,6,85
1726047020.8372624,4,84
1726047020.870281,0,81
1726047020.8846686,0,81
1726047020.9202664,-5,85
1726047020.9823492,-18,87
1726047021.0156753,-23,84
1726047021.0487456,-29,84
1726047021.078331,-36,83
1726047021.1098242,-41,82
1726047021.143412,-51,87
1726047021.1755984,-54,85
1726047021.2069051,-62,87
1726047021.2380228,-70,89
1726047021.272761,-74,90
1726047021.3001292,-76,87
1726047021.3345776,-85,92
1726047021.367743,-89,93
1726047021.3988335,-90,91
1726047021.4483542,-93,91
1726047021.4783216,-92,88
1726047021.5099833,-92,89
1726047021.5425303,-92,89
1726047021.574185,-87,86
1726047021.6084023,-87,89
1726047021.6381817,-82,86
1726047021.6699343,-80,88
1726047021.7030056,-74,85
1726047021.7358184,-71,87
1726047021.7665257,-68,86
1726047021.8001823,-63,85
1726047021.8338223,-61,89
1726047021.8628786,-54,85
1726047021.8919876,-51,86
1726047021.9287643,-44,83
1726047021.960754,-42,84
1726047022.0062985,-34,81
1726047022.0373363,-31,82
1726047022.076707,-25,82
1726047022.105742,-21,84
1726047022.135314,-16,83
1726047022.1670268,-11,84
1726047022.197967,-7,87
1726047022.2304492,-4,87
1726047022.2623942,-1,83
1726047022.2957125,-1,87
1726047022.3266098,0,83
1726047022.358141,-1,82
1726047022.3902564,-3,81
1726047022.4242465,-5,81
1726047022.454117,-8,81
1726047022.4874563,-11,81
1726047022.5193038,-14,80
1726047022.5679238,-18,81
1726047022.6001031,-22,80
1726047022.6283257,-27,83
1726047022.6632078,-32,84
1726047022.6956642,-37,84
1726047022.7240298,-42,82
1726047022.7637293,-48,83
1726047022.7921908,-52,80
1726047022.8233113,-61,84
1726047022.8536289,-65,84
1726047022.8854706,-72,86
1726047022.9168139,-76,85
1726047022.9833455,-85,88
1726047023.0167077,-86,86
1726047023.0462124,-89,87
1726047023.0644362,-89,87
1726047023.0945425,-92,89
1726047023.1267622,-92,89
1726047023.1594057,-91,88
1726047023.1903152,-90,88
1726047023.2233949,-88,87
1726047023.2536411,-85,88
1726047023.2868168,-80,85
1726047023.318822,-78,87
1726047023.3830118,-68,85
1726047023.4149277,-64,86
1726047023.4485714,-59,84
1726047023.479253,-54,85
1726047023.5113215,-47,82
1726047023.543804,-42,82
1726047023.5742617,-38,84
1726047023.6053886,-32,81
1726047023.6202872,-32,81
1726047023.6542912,-26,82
1726047023.6860592,-22,82
1726047023.717916,-16,83
1726047023.7812426,-5,84
1726047023.8147786,-1,85
1726047023.8475387,3,86
1726047023.8794441,8,90
1726047023.9107566,13,92
1726047023.9417262,17,87
1726047023.975309,21,88
1726047024.0062826,26,88
1726047024.037696,29,90
1726047024.071253,33,90
1726047024.1050868,34,88
1726047024.1409357,35,87
1726047024.1840112,35,87
1726047024.2138839,35,89
1726047024.2476683,34,88
1726047024.2794044,32,88
1726047024.310288,28,86
1726047024.3426774,25,85
1726047024.3758519,21,87
1726047024.4071932,18,93
1726047024.4395769,13,86
1726047024.482612,8,87
1726047024.5024238,4,85
1726047024.5365517,0,86
1726047024.566083,-5,89
1726047024.5985813,-10,89
1726047024.6316602,-15,87
1726047024.6632402,-18,87
1726047024.6937852,-23,86
1726047024.7416546,-28,87
1726047024.7730317,-32,86
1726047024.8065233,-39,88
1726047024.8395405,-41,85
1726047024.8703406,-49,88
