1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]"
"[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]"
"[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]"
"[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]"
"[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]"
"[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]"
"[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]"
"[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]"
"[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]"
"[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]"
